Iteration,Accuracy,MacroPrecision,MacroRecall,MacroF1,ArterialPrecision,PortalVenousPrecision,PreContrastPrecision,ArterialRecall,PortalVenousRecall,PreContrastRecall,ArterialF1,PortalVenousF1,PreContrastF1,WeightedPrecision,WeightedRecall,WeightedF1,BalancedAccuracy,CohensKappa,Phase1_Count,Phase1_Accuracy,Phase2_Count,Phase2_Accuracy,Phase3_Count,Phase3_Accuracy,AortaMultiplier,PortalVeinMultiplier,AortaCutoff,PortalVeinCutoff,BoundaryHits,TrainArterial,TrainPortalVenous,TrainPreContrast,TestArterial,TestPortalVenous,TestPreContrast
1,0.973770491803279,0.975071670123611,0.969299292133938,0.97217691271557,0.984126984126984,0.991935483870968,0.949152542372881,0.939393939393939,0.968503937007874,1,0.961240310077519,0.980079681274901,0.973913043478261,0.974535318523792,0.973770491803279,0.973738494611783,0.969299292133938,0.959267482429928,54,1,130,0.984615384615385,121,0.950413223140496,0.87,-0.14,157.9025,86.105,0,338,534,554,132,254,224
2,0.973770491803279,0.971282051282051,0.968794335278776,0.970036598309474,0.953846153846154,0.96,1,0.939393939393939,0.975609756097561,0.991379310344828,0.946564885496183,0.967741935483871,0.995670995670996,0.973881462799496,0.973770491803279,0.973781560672458,0.968794335278776,0.959346884371876,49,1,122,0.975409836065574,134,0.962686567164179,1.07,0.1,157.86,96.225,0,338,542,546,132,246,232
3,0.977049180327869,0.972184883103291,0.974616858237548,0.973399351639763,0.949152542372881,0.982905982905983,0.984496124031008,0.96551724137931,0.958333333333333,1,0.957264957264957,0.970464135021097,0.9921875,0.977149420191092,0.977049180327869,0.976999594176718,0.974616858237548,0.963923622845556,48,1,118,0.974576271186441,139,0.971223021582734,0.87,0.15,157.9475,93.275,0,354,548,524,116,240,254
4,0.980327868852459,0.980976672511823,0.976485303314572,0.978725835221213,0.984126984126984,0.975609756097561,0.983193277310924,0.953846153846154,0.975609756097561,1,0.96875,0.975609756097561,0.991525423728813,0.980333991520105,0.980327868852459,0.980253195332037,0.976485303314572,0.969437856975851,53,1,119,0.974789915966387,133,0.977443609022556,0.88,0.0900000000000001,157.76,94.36,0,340,542,544,130,246,234
5,0.977049180327869,0.981353417779299,0.966666666666667,0.973954678148463,1,0.952755905511811,0.991304347826087,0.9,1,1,0.947368421052632,0.975806451612903,0.995633187772926,0.978007082685584,0.977049180327869,0.976690339426095,0.966666666666667,0.964498320529449,56,1,130,0.953846153846154,119,0.991596638655462,0.75,-0.2,174.375,83.4,0,330,546,550,140,242,228
6,0.977049180327869,0.980729382511397,0.968740399385561,0.974698025612651,1,0.968503937007874,0.973684210526316,0.914285714285714,0.991935483870968,1,0.955223880597015,0.980079681274901,0.986666666666667,0.977617821499664,0.977049180327869,0.976772302032389,0.968740399385561,0.964501271968475,54,1,135,0.97037037037037,116,0.974137931034483,0.79,-0.16,174.57,83.4,0,330,540,556,140,248,222
7,0.973770491803279,0.975385401394998,0.965692732010837,0.970514866790978,0.983333333333333,0.975609756097561,0.967213114754098,0.921875,0.983606557377049,0.991596638655462,0.951612903225806,0.979591836734694,0.979253112033195,0.973954374534339,0.973770491803279,0.973588689246015,0.965692732010837,0.959102261108597,49,0.979591836734694,129,0.976744186046512,127,0.968503937007874,0.95,-0.13,156.85,86.175,0,342,544,540,128,244,238
8,0.980327868852459,0.978983240881799,0.977603619880043,0.978292943984394,0.972602739726027,0.972477064220184,0.991869918699187,0.959459459459459,0.981481481481482,0.991869918699187,0.965986394557823,0.976958525345622,0.991869918699187,0.980328280903298,0.980327868852459,0.980309881752807,0.977603619880043,0.969862652745298,56,0.982142857142857,120,0.975,129,0.984496124031008,1,-0.05,157.25,88.4375,0,322,572,532,148,216,246
9,0.986885245901639,0.989417989417989,0.978835978835979,0.984098537861979,1,0.968253968253968,1,0.936507936507937,1,1,0.967213114754098,0.983870967741935,1,0.987301587301587,0.986885245901639,0.986776014078768,0.978835978835979,0.979508196721312,50,1,121,0.991735537190083,134,0.977611940298508,0.89,0.12,157.42,97.44,0,344,544,538,126,244,240
10,0.973770491803279,0.977851300431946,0.967293488242105,0.972543741611818,1,0.965811965811966,0.967741935483871,0.927536231884058,0.982608695652174,0.991735537190083,0.962406015037594,0.974137931034483,0.979591836734694,0.974311968071883,0.973770491803279,0.973647506070352,0.967293488242105,0.959434746467165,54,1,123,0.967479674796748,128,0.96875,0.9,-0.11,157.3,86.45,0,332,558,536,138,230,242
