Iteration,Phase3_ArterialPrecision,Phase3_PortalPrecision,Phase3_PreContrastPrecision,Phase3_ArterialRecall,Phase3_PortalRecall,Phase3_PreContrastRecall,Phase3_ArterialF1,Phase3_PortalF1,Phase3_PreContrastF1
1,1,0,0.949152542372881,0.5,0,1,0.666666666666667,0,0.973913043478261
2,0.625,0.818181818181818,1,0.714285714285714,0.75,1,0.666666666666667,0.782608695652174,1
3,0.6,1,0.984496124031008,1,0.555555555555556,1,0.75,0.714285714285714,0.9921875
4,1,0.9,0.983193277310924,0.8,0.818181818181818,1,0.888888888888889,0.857142857142857,0.991525423728813
5,1,0,0.991304347826087,0.8,0,1,0.888888888888889,0,0.995633187772926
6,1,0,0.973684210526316,0.5,0,1,0.666666666666667,0,0.986666666666667
7,1,0,0.967213114754098,0.714285714285714,0,1,0.833333333333333,0,0.983333333333333
8,0.833333333333333,0,0.991869918699187,1,0,1,0.909090909090909,0,0.995918367346939
9,1,0.727272727272727,1,0.5,1,1,0.666666666666667,0.842105263157895,1
10,1,0,0.967741935483871,0.666666666666667,0,1,0.8,0,0.983606557377049
11,1,0.642857142857143,0.992,0.285714285714286,0.9,1,0.444444444444444,0.75,0.995983935742972
12,0.833333333333333,0,0.984375,0.833333333333333,0,1,0.833333333333333,0,0.992125984251969
13,1,0,1,1,0,1,1,0,1
14,0.875,0,0.983050847457627,0.875,0,1,0.875,0,0.991452991452991
15,0.333333333333333,0.75,0.976923076923077,0.666666666666667,0.3,1,0.444444444444444,0.428571428571428,0.988326848249027
16,1,0.727272727272727,1,0.25,1,1,0.4,0.842105263157895,1
17,1,0,0.990476190476191,1,0,1,1,0,0.995215311004785
18,0.833333333333333,0,0.953271028037383,0.625,0,1,0.714285714285714,0,0.976076555023924
19,0,0.684210526315789,0.992,0,0.928571428571429,1,0,0.787878787878788,0.995983935742972
20,1,0.818181818181818,0.980952380952381,0.6,0.818181818181818,1,0.75,0.818181818181818,0.990384615384615
21,0.5,0,1,1,0,1,0.666666666666667,0,1
22,1,0.888888888888889,1,0.6,1,1,0.75,0.941176470588235,1
23,1,0.642857142857143,0.99236641221374,0.5,0.9,0.99236641221374,0.666666666666667,0.75,0.99236641221374
24,1,0.642857142857143,0.975409836065574,0.285714285714286,0.75,1,0.444444444444444,0.692307692307692,0.987551867219917
25,0.714285714285714,0,0.968503937007874,0.625,0,1,0.666666666666667,0,0.984
26,0.875,1,0.976923076923077,1,0.6,1,0.933333333333333,0.75,0.988326848249027
27,0.75,0,0.973684210526316,1,0,1,0.857142857142857,0,0.986666666666667
28,0.8,0,0.982142857142857,1,0,1,0.888888888888889,0,0.990990990990991
29,0.333333333333333,0,0.966942148760331,0.5,0,1,0.4,0,0.983193277310924
30,1,0,0.984496124031008,1,0,1,1,0,0.9921875
31,0,0.736842105263158,1,0,1,1,0,0.848484848484848,1
32,1,0.642857142857143,1,0.375,1,1,0.545454545454545,0.782608695652174,1
33,1,0.692307692307692,0.990990990990991,0.2,0.9,1,0.333333333333333,0.782608695652174,0.995475113122172
34,0.625,1,0.962962962962963,1,0.363636363636364,1,0.769230769230769,0.533333333333333,0.981132075471698
35,0.75,0,0.967741935483871,0.75,0,1,0.75,0,0.983606557377049
36,0.714285714285714,0,0.984375,0.714285714285714,0,1,0.714285714285714,0,0.992125984251969
37,1,0,1,1,0,1,1,0,1
38,0,0.307692307692308,0.991803278688525,0,0.8,1,0,0.444444444444444,0.995884773662551
39,0.8,0,0.958333333333333,0.571428571428571,0,1,0.666666666666667,0,0.978723404255319
40,1,0,0.983870967741935,0.8,0,1,0.888888888888889,0,0.991869918699187
41,0.8,0.666666666666667,1,0.8,0.909090909090909,0.966386554621849,0.8,0.769230769230769,0.982905982905983
42,0.75,0,0.973913043478261,0.75,0,1,0.75,0,0.986784140969163
43,0.75,0,0.944,0.375,0,1,0.5,0,0.97119341563786
44,0.75,0,0.970873786407767,0.6,0,1,0.666666666666667,0,0.985221674876847
45,0.75,0.7,1,0.5,0.875,1,0.6,0.777777777777778,1
46,0,0.666666666666667,0.992537313432836,0,0.909090909090909,1,0,0.769230769230769,0.99625468164794
47,0.75,0,0.943089430894309,0.5,0,1,0.6,0,0.97071129707113
48,1,0.8125,0.983050847457627,0.4,0.866666666666667,1,0.571428571428572,0.838709677419355,0.991452991452991
49,0.8,0,0.974576271186441,0.8,0,1,0.8,0,0.987124463519313
50,0,0,0.909090909090909,0,0,1,0,0,0.952380952380952
51,1,0.285714285714286,0.97037037037037,0.285714285714286,0.333333333333333,1,0.444444444444444,0.307692307692308,0.984962406015038
52,1,0.684210526315789,1,0.285714285714286,1,0.991071428571429,0.444444444444444,0.8125,0.995515695067265
53,1,0.615384615384615,0.992063492063492,0.166666666666667,0.888888888888889,1,0.285714285714286,0.727272727272727,0.99601593625498
54,0,0.55,0.992,0,0.916666666666667,1,0,0.6875,0.995983935742972
55,0,0.4,1,0,1,1,0,0.571428571428572,1
56,0.666666666666667,0.615384615384615,0.991379310344828,0.25,0.888888888888889,1,0.363636363636364,0.727272727272727,0.995670995670996
